id,created_at,updated_at,symbol,name,market,exchange,instrument_type,trading_currency,lot_size,tick_size,tradable,is_high_dividend,status,data_source,notes
112,2026-03-08 11:48:23.701984+00:00,2026-03-08 11:48:23.701987+00:00,601916,浙商银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
23,2026-03-07 16:31:46.459601+00:00,2026-03-07 16:31:46.459604+00:00,601919,中远海控,CN,SSE,股票,CNY,1,,True,True,启用,position-init-csv,strategy_tag=manual-dividend
113,2026-03-08 11:48:23.702514+00:00,2026-03-08 11:48:23.702517+00:00,601928,凤凰传媒,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
114,2026-03-08 11:48:23.702915+00:00,2026-03-08 11:48:23.702918+00:00,601939,建设银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
115,2026-03-08 11:48:23.703315+00:00,2026-03-08 11:48:23.703318+00:00,601963,重庆银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
116,2026-03-08 11:48:23.703722+00:00,2026-03-08 11:48:23.703725+00:00,601988,中国银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
117,2026-03-08 11:48:23.704156+00:00,2026-03-08 11:48:23.704160+00:00,601997,贵阳银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
118,2026-03-08 11:48:23.704923+00:00,2026-03-08 11:48:23.704928+00:00,601998,中信银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
119,2026-03-08 11:48:23.705375+00:00,2026-03-08 11:48:23.705379+00:00,603565,中谷物流,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
120,2026-03-08 11:48:23.705810+00:00,2026-03-08 11:48:23.705814+00:00,603706,东方环宇,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
121,2026-03-08 11:48:23.706320+00:00,2026-03-08 11:48:23.706323+00:00,603967,中创物流,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
11,2026-03-07 16:18:27.166866+00:00,2026-03-07 16:48:07.427960+00:00,881157,证券881157,CN,SZSE,指数,CNY,1,,True,False,启用,market-config,SECURITIES_881157
7,2026-03-07 16:18:27.165171+00:00,2026-03-07 16:48:07.425501+00:00,899050,北证50,CN,BSE,指数,CNY,1,,True,False,启用,market-config,BSE_50
